,num
0,1585586242
1,16887117
2,1626068590
3,1541220979
4,37765917
5,1389132207
6,637290305
7,1105632765
8,1626068590
9,1541220979
10,1146885120
11,36859834
12,1203369807
13,1989759621
14,1177301296
15,37264330
16,70213029
17,37765917
18,1886393142
19,1069438409
20,16886040
21,1310265573
22,13467718
23,1385678513
24,1339557107
25,1199185736
26,36388446
27,1238279882
28,1203369807
29,76158690
30,1876373893
31,16885890
32,1609519097
33,1570836131
34,19494321
35,32164641
36,35055861
37,1010866310
38,637290305
39,84349018
40,1917333580
41,1039634629
42,37766370
43,1044419982
44,1335813166
45,1230534126
46,36269591
47,16888580
48,1668139213
49,36812592
50,36513237
51,37882839
52,1764464799
53,1118872447
54,1271203564
55,1737919751
56,1554528371
57,1636101910
58,1196124840
59,1723410470
60,1000265011
61,1752915211
62,1272814113
63,32713629
64,1792504609
65,1294171203
66,16886875
67,84349018
68,1774560702
69,1753513935
70,34014820
71,1974126202
72,19867519
73,67671356
74,1423425181
75,1873360920
76,16883382
77,1773810139
78,1670575725
79,16886859
80,1094744974
81,1177600126
82,1112783831
83,1803478976
84,1776382371
85,1173780831
86,33225559
87,38738029
88,37765917
89,1803478976
90,1849597025
91,1528203196
92,150663740
93,37920412
94,1374135287
95,1878565797
96,418568797
97,1653601714
98,76158690
99,16885586
100,1752915211
101,1014927542
102,1062696378
103,16886831
104,1274479359
105,1441681333
106,1744698773
107,1166998372
108,36188661
109,1671603916
110,1177301296
111,1221361243
112,1352302071
113,1105632765
114,697109858
115,1165341883
116,16889509
117,1585586242
118,16730399
119,1094785181
120,1070440821
121,36465064
122,36263124
123,38289242
124,1548606997
125,34783277
126,1817807934
127,21702850
128,1693761387
129,1831207503
130,1813709359
131,1038507021
132,1103297964
133,1129270932
134,1527695746
135,1696558952
136,142602502
137,16883286
138,1803478976
139,1199185736
140,11686693
141,1937899818
142,16886001
143,1337061265
144,1429479801
145,38332430
146,637290305
147,1533078951
148,1716342527
149,38555620
150,1336982501
151,1982069275
152,17035167
153,36655347
154,1346958057
155,1710788233
156,1248471781
157,1337314494
158,125159529
159,1105769209
160,17035167
161,1221361243
162,37883169
163,19728695
164,1455840441
165,11664582
166,36896929
167,37097862
168,1270542848
169,1547351949
170,1456803833
171,33919944
172,37917032
173,38520617
174,19873497
175,13542160
176,1221361243
177,1647202079
178,1796704605
179,1630967492
180,31561555
181,1353786546
182,1553753990
183,37026293
184,1729610778
185,11795768
186,1139034978
187,1560889944
188,203150079
189,1221361243
190,911417592
191,1241763504
192,1454410175
193,1944183169
194,37747075
195,1725120379
196,37653648
197,1539580668
198,1055700956
199,1624718599
200,1700992768
201,1792450574
202,1899541511
203,16886689
204,1317765792
205,1329337139
206,16887117
207,37580970
208,1482070767
209,1323177218
210,84349018
211,1776382371
212,1679904879
213,1047721384
214,1639108504
215,32709011
216,1810016105
217,1618248387
218,19872990
219,37264234
220,19872990
221,1903527640
222,1431493680
223,16870210
224,1876553757
225,1204310967
226,1431450188
227,1127091708
228,1727176524
229,1374828905
230,37191637
231,1063732663
232,33044524
233,1117752864
234,1810016105
235,31222746
236,1290350879
237,1828477580
238,35125037
239,35125037
240,1164066100
241,340224722
242,37116020
243,37438036
244,1106239393
245,1025731141
246,36060798
247,1000671392
248,1191484324
249,1516216333
250,21423538
251,38704266
252,1074627571
253,1176451757
254,1879049530
255,1014682899
256,17028601
257,1164066100
258,1629989684
259,1712742963
260,32709011
261,1118011490
262,31542957
263,1943823845
264,1913657793
265,1317146125
266,702550255
267,1991946911
268,1472709772
269,1007297798
270,1991946911
271,1957718117
272,35357431
273,38677142
274,1250036232
275,37170797
276,1430869668
277,1665072427
278,1116585788
279,1418560385
280,17024872
281,1939124964
282,1011847132
283,1170061749
284,1027026403
285,1255816418
286,1522376197
287,1561427296
288,1794344409
289,1159833555
290,1618248387
291,38275301
292,19873266
293,1059446056
294,1253782237
295,1033377319
296,1364855325
297,1311007662
298,1020045509
299,1207185561
300,1089520721
301,16869936
302,1056545447
303,1121655924
304,1648347549
305,37840644
306,1178259742
307,1814946769
308,16876146
309,1243983417
310,1758940989
311,1467395655
312,1589162775
313,16871522
314,32485033
315,1307251244
316,32164424
317,1991946911
318,1159833555
319,1557244123
320,1980379856
321,274884147
322,37275351
323,1542147791
324,1165023222
325,1072771042
326,1509921260
327,1593180086
328,16870132
329,1490096944
330,1391078714
331,1119656505
332,1122359878
333,1760068144
334,1277994554
335,1251290637
336,1122100595
337,1306187552
338,31153275
339,1647811060
340,1472709772
341,31846277
342,1734008882
343,1285144336
344,1776032984
345,37049502
346,878974631
347,1331785940
348,35545989
349,868436419
350,1263982690
351,1295045491
352,1250584041
353,1702824913
354,37668766
355,35786163
356,32305102
357,1701765247
358,19882744
359,37269006
360,1347397220
361,36628831
362,1196438364
363,1085882077
364,1230987440
365,19866593
366,1993945170
367,38704266
368,1530877322
369,1948881887
370,45860080
371,1074807010
372,1569993781
373,836437782
374,1159833555
375,1927874855
376,31105650
377,1782800882
378,1792937016
379,1247959370
380,1477105978
381,16876643
382,933405444
383,1371315319
384,1938092686
385,1509400725
386,1859142279
387,1638711031
388,35623977
389,1020045509
390,45860080
391,1144133108
392,79152364
393,37689722
394,1880404275
395,37812422
396,38589812
397,1540982509
398,1023627277
399,1414749130
400,38248779
401,20341630
402,1646990819
403,1531585455
404,1067714484
405,1970930937
406,1843196822
407,38419888
408,1739636434
409,1305305351
410,11568548
411,1168466594
412,1618248387
413,1746385822
414,1647811060
415,1530877322
416,1047692886
417,579611160
418,1119656505
419,1454530915
420,1054244304
421,1716633433
422,1867835904
423,1713431264
424,617518889
425,36690472
426,829174961
427,1068361426
428,1287942428
429,38257426
430,1931084315
431,655356494
432,37996260
433,36939034
434,1152529573
435,173083007
436,656077432
437,1170851087
438,1511929178
439,1509400725
440,38704266
441,1652664444
442,36727916
443,36296784
444,181921983
445,1460671233
446,940569402
447,1048716498
448,1800791012
449,1223076322
450,1823379997
451,1859848659
452,36744970
453,10976695
454,1853402903
455,34223053
456,13419798
457,1435147039
458,16872238
459,1663797366
460,1387282351
461,1591515362
462,13444840
463,37127125
464,1646055621
465,37209458
466,16875335
467,19872990
468,1164066100
469,32465723
470,1185105118
471,1031909241
472,434610843
473,458287683
474,1449299326
475,1171078853
476,1544399453
477,1633977299
478,37746583
479,1724769029
480,34632051
481,37761617
482,1610241095
483,1613615135
484,21295444
485,38710815
486,1275868092
487,1200235572
488,16871648
489,1277994554
490,16870210
491,11859211
492,1108368332
493,1500008137
494,1166290416
495,16872668
496,1386777360
497,1797940924
498,1531519589
499,579611160
500,1410101119
501,1373351644
502,1298586817
503,1057029373
504,33027983
505,37847350
506,1045257174
507,1903355311
508,1159096710
509,1428952747
510,1780822718
511,1908468775
512,186579806
513,1389926669
514,1918412930
515,1885868678
516,1226182771
