,num
0,1359208703
1,1122605068
2,31933146
3,11588560
4,37721106
5,1478285866
6,36951138
7,1668001224
8,15593467
9,1439901579
10,36461221
11,1622962699
12,15593506
13,15593470
14,37400460
15,20436163
16,15593518
17,1876638088
18,1010929038
19,15905502
20,15593689
21,15593592
22,37381693
23,1004706787
24,15593855
25,15905912
26,15905657
27,15593916
28,239992808
29,1189399775
30,36442275
31,1855312838
32,15593373
33,15593603
34,15905708
35,15593579
36,15593393
37,1487126845
38,15593377
39,15593363
40,184761450
41,35655372
42,15593588
43,20432259
44,1848177534
45,31902354
46,32628641
47,952784459
48,1288034910
49,1797451607
50,15905539
51,20252262
52,1126347151
53,1121696580
54,1038571793
55,21593597
56,1006507174
57,1094554146
58,15593356
59,1822379716
60,1064831327
61,11801333
62,37690595
63,38521024
64,37129296
65,1427209705
66,1895481482
67,33928141
68,1991844845
69,15592240
70,15592347
71,1775490058
72,1896886794
73,31436948
74,1803069122
75,1255897330
76,15592343
77,1138996730
78,15904293
79,15904700
80,15904388
81,31961395
82,15592597
83,1807081030
84,15904243
85,38476119
86,33110167
87,15592216
88,1639712059
89,1194613463
90,21613803
91,15592408
92,15904237
93,1176937207
94,15904362
95,1266371893
96,15904369
97,32157855
98,15592141
99,1107881638
100,71178676
101,34429428
102,1118672564
103,15904218
104,1252660011
105,1042311161
106,15904349
107,785301141
108,1179733448
109,36464867
110,15592122
111,15904360
112,1510224302
113,38000536
114,1444246653
115,1266544678
116,1996345799
117,15592132
118,1967886076
119,15592462
120,15592301
121,15592136
122,1657642467
123,15592412
124,38588353
125,1032375057
126,1271492860
127,15904222
128,71178676
129,34429428
130,1118672564
131,15904218
132,1252660011
133,1042311161
134,15904349
135,785301141
136,1179733448
137,36464867
138,15592122
139,15904360
140,1510224302
141,38000536
142,1444246653
143,1266544678
144,1996345799
145,15592132
146,1967886076
147,15592462
148,15592301
149,15592136
150,1657642467
151,15592412
152,38588353
153,1032375057
154,1271492860
155,15904222
156,71178676
157,34429428
158,1118672564
159,15904218
160,1252660011
161,1042311161
162,15904349
163,785301141
164,1179733448
165,36464867
166,15592122
167,15904360
168,1510224302
169,38000536
170,1444246653
171,1266544678
172,1996345799
173,15592132
174,1967886076
175,15592462
176,15592301
177,15592136
178,1657642467
179,15592412
180,38588353
181,1032375057
182,1271492860
183,15904222
184,71178676
185,34429428
186,1118672564
187,15904218
188,1252660011
189,1042311161
190,15904349
191,785301141
192,1179733448
193,36464867
194,15592122
195,15904360
196,1510224302
197,38000536
198,1444246653
199,1266544678
200,1996345799
201,15592132
202,1967886076
203,15592462
204,15592301
205,15592136
206,1657642467
207,15592412
208,38588353
209,1032375057
210,1271492860
211,15904222
