,Num,Type,Name,Address,Score,Phone
0,1200005002,요리주점,더송 제주협재점,제주 제주시 한림읍 협재1길 27 B1 THE SONG,none,0507-1430-9330
1,1718864853,양식,제주달빛좋은밤 협재본점,제주 제주시 한림읍 한림로 424-1 2층,4.82,0507-1375-1584
2,1167642113,라면,협재해물라면 쪼꼴락상회,제주 제주시 한림읍 협재4길 9 협재해물라면 쪼꼴락상회,4.46,010-4653-1666
3,36823910,일식당,협재수우동 협재점,제주 제주시 한림읍 협재1길 11,4.11,064-796-5830
4,38265308,돼지고기구이,도민상회 제주협재본점,제주 제주시 한림읍 한림로3길 8 도민상회 본점,4.62,0507-1401-0795
5,1537940586,"카페,디저트",우무,제주 제주시 한림읍 한림로 542-1,4.36,0507-1327-0064
6,1094909215,비빔밥,안녕협재씨 제주협재점,제주 제주시 한림읍 협재1길 55 1층,4.51,0507-1347-0624
7,34635305,"칼국수,만두",한림칼국수 제주본점,제주 제주시 한림읍 한림해안로 141,4.48,070-8900-3339
8,960619161,"해물,생선요리",옥만이네 제주금능협재점,제주 제주시 한림읍 한림해안로 160 1층,4.44,0507-1411-0736
9,1160940163,돼지고기구이,별돈별 협재해변점,제주 제주시 한림읍 협재1길 4 2층,4.49,064-796-5895
10,1913261845,"칼국수,만두",담다,제주 제주시 한림읍 협재4길 8 1층,4.7,0507-1356-0054
11,1325311347,"해물,생선요리",오만정성 제주협재점,제주 제주시 한림읍 일주서로 5083 1층 오만정성,4.82,064-796-5083
12,37889230,"칼국수,만두",협재칼국수 제주협재점,제주 제주시 한림읍 협재로 3,4.46,0507-1335-8107
13,37413742,한식,명랑스낵,제주 제주시 한림읍 한림로 585,4.13,0507-1344-4548
14,819376798,"칼국수,만두",바당길,제주 제주시 한림읍 한림서길 18 바당길,4.41,0507-1412-1658
15,1383910337,"카페,디저트",명월국민학교,제주 제주시 한림읍 명월로 48,4.48,070-8803-1955
16,32891339,생선회,협재해녀의집,제주 제주시 한림읍 협재3길 19,4.13,064-796-7773
17,126807410,중식당,면차롱,제주 제주시 한림읍 한림로 380,4.55,0507-1300-7832
18,38323100,카레,문쏘,제주 제주시 한림읍 한림상로 15-5 문쏘 본점,4.23,0507-1350-7935
