,num
0,1200005002
1,1718864853
2,1167642113
3,36823910
4,38265308
5,1537940586
6,1094909215
7,34635305
8,960619161
9,1160940163
10,1913261845
11,1325311347
12,37889230
13,37413742
14,819376798
15,1383910337
16,32891339
17,126807410
18,38323100
19,1330534461
20,1916744467
21,1115697217
22,1619292194
23,1913261845
24,1608221610
25,617945042
26,37882884
27,1676569008
28,1532034543
29,34433147
30,35924650
31,1798990572
32,149975924
33,1040025810
34,379790613
35,16866249
36,1643395577
37,37207246
38,36284467
39,17021628
40,1062026034
41,38554778
42,1456068886
43,1273799531
44,37844914
45,1669662921
46,1435557792
47,655562746
48,1006988399
49,1297504158
50,1643395577
51,35924650
52,182753219
53,1748579619
54,1536054532
55,1118362655
56,1841424227
57,1789959499
58,1807372971
59,35442297
60,36620095
61,37080528
62,1839448078
63,1436217006
64,1718061600
65,19873662
66,1438290869
67,1201892143
68,299612944
69,1619292194
70,1222647072
71,1486669514
72,36804115
73,1094909215
74,1549848519
75,1952210476
76,1191373298
77,1806188910
78,16865668
79,1554789738
80,1386240526
81,1584030362
82,1012537484
83,1958586198
84,16865744
85,1760747516
86,36932312
87,766505976
88,1794381468
89,36804115
90,1779931611
91,1638090672
92,1584217766
93,1897434885
94,1113051649
95,1411180003
96,1560373361
97,1849199077
98,1046784594
99,1231799882
100,1115697217
101,1484163036
102,1918516913
103,37086204
104,1218389995
105,31409198
106,16858498
107,1547588747
108,1167467485
109,1683086259
110,1212796945
111,1878870522
112,13196954
113,1820744408
114,1246755660
115,1829345448
116,36734017
117,1374761488
118,1261191933
119,21729803
120,1604319975
121,1077891850
122,38265308
123,1263956631
124,1245704097
125,16863333
126,1862703098
127,1721667274
128,16864917
129,1954130168
130,1869459211
131,1576949692
132,37848766
133,1681498778
134,37046258
135,407062195
136,1266150536
137,1596213047
138,1193905753
139,1323407786
140,1273416923
141,1229689334
142,368184250
143,1023386774
144,1056381632
145,38695952
146,1248662630
147,1456954752
148,1535743831
149,1564418796
150,1160940163
151,19873662
152,1602802473
153,35280080
154,474937108
155,896977774
156,1338201322
157,1800953968
158,1299502505
159,16867375
160,21172057
161,1081289439
162,1970091673
163,13444866
164,922214839
165,1186161857
166,1000705551
167,1138220842
168,872144190
169,36615257
170,19873713
171,1582359245
172,1718864853
173,38265308
174,1682015547
175,1285610600
176,1905514099
177,1671056520
178,1964923412
179,609263561
180,1715598509
181,33646673
182,31877996
183,808919638
184,1857683756
185,37868046
186,37060922
187,1728198183
188,13027660
189,1358848984
190,30825957
191,1413267851
192,1294445075
193,1089671180
194,1660458147
195,1263448786
196,1869843996
197,1962443867
198,1906181915
199,21031635
200,1676569008
201,1077891850
202,1378950613
203,12052397
204,1731645635
205,1061474667
206,16866933
207,1367089110
208,1010796990
209,1545154156
210,38290707
211,1141019901
212,1432183574
213,1665925544
214,1238661959
215,1030078190
216,36929004
217,1997239297
218,1789973048
219,16862893
220,1872607308
221,1955826704
222,11632890
223,36804115
224,1436114038
225,38709854
226,1046112997
227,1454922817
228,1956481432
229,1518278430
230,35365979
231,1582836832
232,1412445154
233,1855913555
234,13435823
235,1249670911
236,1372960191
237,1159551290
238,1243660462
239,1788979291
240,196322589
241,36531891
242,942698266
243,1092264861
244,32628262
245,1771010193
246,1252461772
247,1727227403
248,1016311144
249,16860289
250,38323100
251,1576949692
252,1078699146
253,35627952
254,1689009512
255,1268494974
256,1241505676
257,1254797375
258,1151527858
259,1093355757
260,1841608162
261,12046079
262,1303450475
263,1885671682
264,1030992947
265,1866635933
266,1089501834
267,1626762026
268,1387958560
269,1735190386
270,1375419330
271,1047043307
272,1820744408
273,1676569008
274,1206902891
275,20671487
276,1977824706
277,1272600875
278,1873146415
279,1007079226
280,1038058575
281,1815484043
282,1520387503
283,1720705629
284,16863184
285,1863324239
286,1460789402
287,1545896995
288,1437878599
289,1223872147
290,1066998036
291,1109589602
292,1514464724
293,1129456863
294,1659280072
295,33876929
296,1227605021
297,36803911
298,1504985857
299,11559324
