,num
0,1485118707
1,1744506906
2,1275815754
3,1753210391
4,662179145
5,1565283628
6,1690354455
7,85393054
8,1655732599
9,1513690097
10,1760281675
11,1305337580
12,1875624361
13,1436711710
14,1000639701
15,12985100
16,1398031150
17,1698847103
18,1146426562
19,1034035546
20,1924293105
21,1031219213
22,1080811064
23,1128364627
24,1668003266
25,1331305271
26,1411081677
27,1637164615
28,1464435858
29,1309585620
30,1775224468
31,1035036284
32,1278565628
33,1798970075
34,35726772
35,1636571197
36,1904180564
37,1275931128
38,20383925
39,37468319
40,843578747
41,1090105095
42,13269361
43,1110821571
44,1750433763
45,38299496
46,1391695181
47,1872238260
48,19861672
49,38252519
50,1331305271
51,1496560289
52,1774269591
53,37604020
54,1910633529
55,1763607050
56,234069088
57,38015815
58,1264720945
59,1784180561
60,1902497817
61,1447063578
62,37411506
63,1436667360
64,1301760508
65,1329385225
66,1859539507
67,1316829967
68,1561609662
69,1168445377
70,1496560289
71,37388765
72,1334089514
73,1568384603
74,1978161435
75,1423603783
76,1869238855
77,750761196
78,1563504133
79,37854696
80,1605226743
81,1714886994
82,32799839
83,1800955905
84,36177811
85,1346211149
86,135080827
87,1249593173
88,1773796128
89,1226730842
90,1432844216
91,1994729248
92,36812293
93,1900858333
94,1179975511
95,1780460086
96,1635946183
97,1018077796
98,1927432324
99,1423635320
100,1849652804
101,1083276741
102,1741866041
103,1214831336
104,1033413570
105,1656733920
106,1678073738
107,1024805756
108,1964985703
109,1563749375
110,34079145
111,1066853151
112,18799937
113,36406285
114,11680030
115,1211710717
116,1221839422
117,1051445603
118,1038842069
119,37769447
120,38570861
121,1663817109
122,1798531670
123,1464435858
124,1633756880
125,1942029835
126,1014442289
127,1931292312
128,1344661821
129,1367115545
130,1231745266
131,1083112932
132,1181344283
133,13519428
134,1676055698
135,1020760108
136,344591978
137,1886063841
138,37430272
139,1913882422
140,1486816049
141,37185885
142,1498252663
143,1963252617
144,1481174484
145,1106273286
146,1655304233
147,1312139553
148,1521760712
149,1719104301
150,1753210391
151,1329385225
152,37002558
153,1033432893
154,1788000023
155,1895036093
156,1966060747
157,11632310
158,774846660
159,1304934400
160,1929139340
161,31392136
162,501845617
163,1810051671
164,1414485182
165,20593600
166,1601052613
167,1323998281
168,1265007422
169,34308583
170,37085959
171,36667236
172,1024805756
173,1744506906
174,1161055545
175,1073051359
176,1113972362
177,1771873244
178,11824418
179,1076533098
180,1159020281
181,519680842
182,1191441242
183,37345638
184,1076895904
185,1733564552
186,1231534281
187,1587333262
188,1326436574
189,1567157005
190,1467566565
191,1953633353
192,1528111556
193,1225027833
194,1816828256
195,1145422819
196,33920482
197,1173198438
198,1123360042
199,38520410
200,1753210391
201,1329385225
202,1803480676
203,1091577437
204,1922159413
205,1086377447
206,1020389622
207,1560079811
208,1255182216
209,36399494
210,1405745531
211,35689421
212,814482112
213,1903137270
214,1005541090
215,38734192
216,1997718816
217,1976356437
218,773112933
219,1377545270
220,1251622730
221,21848683
222,1024805756
223,1744506906
224,37408827
225,1304764553
226,1562746544
227,1521995173
228,1897802202
229,1267633713
230,36384258
231,1120900262
232,1653955236
233,1355490441
234,1295681787
235,1193638888
236,34714133
237,1365045854
238,572367804
239,1748346058
240,38002599
241,1320658106
242,123323584
243,1075946117
244,1201517666
245,1096273146
246,1124366262
247,1630030343
248,1113794499
249,1630360144
250,1753210391
251,1329385225
252,1803480676
253,1091577437
254,1922159413
255,1086377447
256,1020389622
257,1560079811
258,1255182216
259,36399494
260,1405745531
261,35689421
262,814482112
263,1903137270
264,1005541090
265,38734192
266,1997718816
267,1976356437
268,773112933
269,1377545270
270,1251622730
271,21848683
272,1024805756
273,1744506906
274,37408827
275,1304764553
276,1562746544
277,1521995173
278,1897802202
279,1267633713
280,36384258
281,1120900262
282,1653955236
283,1355490441
284,1295681787
285,1193638888
286,34714133
287,1365045854
288,572367804
289,1748346058
290,38002599
291,1320658106
292,123323584
293,1075946117
294,1201517666
295,1096273146
296,1124366262
297,1630030343
298,1113794499
299,1630360144
