,num
0,1289898000
1,1503806574
2,17069378
3,1241083032
4,1639542730
5,1747589122
6,1474440673
7,37534496
8,810995268
9,16947222
10,635657792
11,1503806574
12,1516247337
13,1076013975
14,1694312549
15,1881920232
16,1107501886
17,1254564010
18,35678728
19,1969497561
20,635657792
21,1554821265
22,1944082569
23,1605149893
24,1344547583
25,1092896410
26,1058859367
27,13286289
28,32359127
29,1923461323
30,1896845952
31,1383042284
32,1775214043
33,1991440455
34,37812375
35,130649329
36,881739252
37,31519899
38,1578577127
39,37909515
40,1830066906
41,1641733155
42,1079114594
43,16942512
44,1762042953
45,1629164741
46,1265653334
47,1990402262
48,1357712308
49,38402607
50,30941236
51,1850903300
52,37667753
53,16946467
54,37377797
55,1337922512
56,1672177824
57,417578537
58,1319340337
59,1630940417
60,1410755607
61,1056333379
62,1795425439
63,38658611
64,258798484
65,37275629
66,1030212619
67,1888497932
68,16945997
69,32500384
70,1984646941
71,1776696379
72,1287925761
73,1276182136
74,32581730
75,21758957
76,38280891
77,1185316651
78,16942415
79,1976903811
80,1299307842
81,1690250317
82,1487368949
83,1312555937
84,37872484
85,16942562
86,1154498524
87,37152152
88,1189597441
89,1184995542
90,1511840624
91,409755968
92,21599937
93,33786371
94,16946005
95,20539567
96,1543207570
97,1547956935
98,1136341593
99,1439336156
100,1159221953
101,1108947626
102,1793931505
103,13450890
104,36948538
105,1120513956
106,1469433728
107,1412685410
108,1079596609
109,16942541
110,1479024768
111,1012968994
112,38302949
113,1929980278
114,1103114498
115,1773740016
116,1943651055
117,16945757
118,11800593
119,37924671
120,16946018
121,1947203790
122,32165909
123,36920286
124,1033846161
125,293342496
126,1913156885
127,31510537
128,1680800124
129,300619263
130,85467872
131,1518703384
132,1024600210
133,21270441
134,1062211204
135,16941519
136,1813297172
137,191137085
138,1230977211
139,1269745971
140,1511840624
141,409755968
142,21599937
143,33786371
144,16946005
145,20539567
146,1543207570
147,1547956935
148,1136341593
149,1439336156
150,1159221953
151,1108947626
152,1793931505
153,13450890
154,36948538
155,1120513956
156,1469433728
157,1412685410
158,1079596609
159,16942541
160,1479024768
161,1012968994
162,38302949
163,1929980278
164,1103114498
165,1773740016
166,1943651055
167,16945757
168,11800593
169,37924671
170,16946018
171,1947203790
172,32165909
173,36920286
174,1033846161
175,293342496
176,1913156885
177,31510537
178,1680800124
179,300619263
180,85467872
181,1518703384
182,1024600210
183,21270441
184,1062211204
185,16941519
186,1813297172
187,191137085
188,1230977211
189,1269745971
190,1511840624
191,409755968
192,21599937
193,33786371
194,16946005
195,20539567
196,1543207570
197,1547956935
198,1136341593
199,1439336156
200,1159221953
201,1108947626
202,1793931505
203,13450890
204,36948538
205,1120513956
206,1469433728
207,1412685410
208,1079596609
209,16942541
210,1479024768
211,1012968994
212,38302949
213,1929980278
214,1103114498
215,1773740016
216,1943651055
217,16945757
218,11800593
219,37924671
220,16946018
221,1947203790
222,32165909
223,36920286
224,1033846161
225,293342496
226,1913156885
227,31510537
228,1680800124
229,300619263
230,85467872
231,1518703384
232,1024600210
233,21270441
234,1062211204
235,16941519
236,1813297172
237,191137085
238,1230977211
239,1269745971
240,1511840624
241,409755968
242,21599937
243,33786371
244,16946005
245,20539567
246,1543207570
247,1547956935
248,1136341593
249,1439336156
250,1159221953
251,1108947626
252,1793931505
253,13450890
254,36948538
255,1120513956
256,1469433728
257,1412685410
258,1079596609
259,16942541
260,1479024768
261,1012968994
262,38302949
263,1929980278
264,1103114498
265,1773740016
266,1943651055
267,16945757
268,11800593
269,37924671
270,16946018
271,1947203790
272,32165909
273,36920286
274,1033846161
275,293342496
276,1913156885
277,31510537
278,1680800124
279,300619263
280,85467872
281,1518703384
282,1024600210
283,21270441
284,1062211204
285,16941519
286,1813297172
287,191137085
288,1230977211
289,1269745971
